filename,width,height,class,xmin,ymin,xmax,ymax
IMG_8573.JPG,4032,3024,50000,1604,902,2856,2146
IMG_8203.JPG,4032,3024,1000,1372,642,2604,1678
IMG_8558.JPG,3024,4032,10000,1464,1580,1940,2704
IMG_8603.JPG,3024,4032,50000,538,973,1199,1939
IMG_8603.JPG,3024,4032,5000,1145,415,1779,1295
IMG_8603.JPG,3024,4032,5000,1309,1585,1953,2310
IMG_8603.JPG,3024,4032,10000,870,2132,1758,2822
IMG_8603.JPG,3024,4032,10000,833,2566,1614,3378
IMG_8603.JPG,3024,4032,1000,2262,2700,2619,3429
IMG_8603.JPG,3024,4032,1000,2150,2234,2519,2951
IMG_8603.JPG,3024,4032,1000,1548,2241,2114,3054
IMG_8603.JPG,3024,4032,10000,1758,1256,2133,2098
IMG_8645.JPG,3024,4032,5000,1159,1380,2159,3685
IMG_8651.JPG,3024,4032,5000,1073,908,2773,3170
IMG_8167.JPG,4032,3024,1000,843,858,3599,1669
IMG_8642.JPG,3024,4032,10000,1392,1537,2206,3532
IMG_8480.JPG,4032,3024,1000,1376,470,3112,2850
IMG_8414.JPG,4032,3024,50000,1744,1066,3160,1762
IMG_8736.JPG,3024,4032,5000,178,1599,1483,3547
IMG_8516.JPG,3024,4032,5000,1240,2061,2664,3151
IMG_8679.JPG,3024,4032,50000,878,1789,2835,2880
IMG_8631.JPG,3024,4032,10000,1235,1461,2140,3318
IMG_8436.JPG,4032,3024,50000,1516,442,2420,1446
IMG_8578.JPG,4032,3024,50000,1612,470,3032,2542
IMG_8394.JPG,4032,3024,50000,1684,922,3324,1758
IMG_8487.JPG,4032,3024,1000,1256,310,3236,2410
IMG_8748.JPG,3024,4032,10000,502,1404,2111,3027
IMG_8713.JPG,3024,4032,1000,892,1523,2268,3494
IMG_8610.JPG,4032,3024,5000,248,1342,1012,1822
IMG_8610.JPG,4032,3024,10000,960,1222,1836,2030
IMG_8610.JPG,4032,3024,1000,1468,1986,2328,2562
IMG_8610.JPG,4032,3024,10000,1908,1370,2560,2234
IMG_8610.JPG,4032,3024,5000,3080,1102,3792,1866
IMG_8610.JPG,4032,3024,1000,1988,666,2712,1322
IMG_8610.JPG,4032,3024,1000,2436,418,3164,810
IMG_8610.JPG,4032,3024,50000,1172,742,2052,1294
IMG_8688.JPG,3024,4032,50000,1235,1361,2359,3294
IMG_8435.JPG,4032,3024,50000,1728,610,2436,1678
IMG_8164.JPG,4032,3024,1000,760,764,3560,1658
IMG_8399.JPG,4032,3024,50000,1628,1238,3324,2258
IMG_8728.JPG,3024,4032,5000,968,1627,1954,3656
IMG_8715.JPG,3024,4032,1000,502,1532,2468,2756
IMG_8265.JPG,4032,3024,10000,1456,962,2440,2250
IMG_8538.JPG,4032,3024,10000,1896,1918,3560,2622
IMG_8538.JPG,4032,3024,10000,2004,882,3132,1222
IMG_8538.JPG,4032,3024,10000,1492,318,2328,778
IMG_8498.JPG,3024,4032,1000,1297,1627,2830,3089
IMG_8571.JPG,4032,3024,50000,1448,834,2728,2014
IMG_8288.JPG,4032,3024,10000,1552,942,2552,2390
IMG_8336.JPG,4032,3024,50000,800,798,3692,1378
IMG_8524.JPG,3024,4032,5000,997,1585,2335,3632
IMG_8485.JPG,4032,3024,1000,1528,686,2952,1950
IMG_8276.JPG,4032,3024,10000,1792,770,2548,2366
IMG_8301.JPG,4032,3024,10000,1440,826,3116,2230
IMG_8447.JPG,4032,3024,50000,1700,718,3056,1934
IMG_8661.JPG,3024,4032,5000,921,1742,1849,3923
IMG_8277.JPG,4032,3024,10000,1592,630,2524,2102
IMG_8236.JPG,4032,3024,5000,1092,730,2800,2414
IMG_8456.JPG,4032,3024,50000,1860,730,2876,1846
IMG_8430.JPG,4032,3024,50000,1888,878,2768,2070
IMG_8510.JPG,4032,3024,5000,2072,1454,2912,2438
IMG_8510.JPG,4032,3024,5000,1964,1118,3148,1402
IMG_8510.JPG,4032,3024,5000,1088,722,1996,1010
IMG_8159.JPG,3024,4032,1000,1174,523,2488,3551
IMG_8762.JPG,3024,4032,10000,1411,1051,2326,3004
IMG_8429.JPG,4032,3024,50000,1732,818,2612,2054
IMG_8472.JPG,4032,3024,1000,1396,878,3040,2126
IMG_8472.JPG,4032,3024,1000,3300,766,4032,1562
IMG_8395.JPG,4032,3024,50000,1716,1086,3624,2094
IMG_8719.JPG,3024,4032,1000,1059,1556,2054,3470
IMG_8711.JPG,3024,4032,1000,1021,1618,2421,3356
IMG_8446.JPG,4032,3024,50000,1580,1398,2572,1934
IMG_8639.JPG,3024,4032,10000,1087,1623,2045,3527
IMG_8228.JPG,4032,3024,5000,1464,938,2676,2170
IMG_8386.JPG,4032,3024,50000,1104,114,2936,1862
IMG_8263.JPG,3024,4032,10000,668,1685,2187,2423
IMG_8496.JPG,3024,4032,1000,506,2089,2111,3927
IMG_8495.JPG,3024,4032,1000,711,2227,2130,3851
IMG_8361.JPG,4032,3024,50000,1508,786,2840,1998
IMG_8569.JPG,4032,3024,50000,1340,606,2396,2446
IMG_8333.JPG,4032,3024,50000,1344,1046,3440,1982
IMG_8753.JPG,3024,4032,10000,826,1347,1935,3085
IMG_8231.JPG,4032,3024,5000,1616,1246,2508,1642
IMG_8547.JPG,3024,4032,10000,1183,1547,2687,2751
IMG_8687.JPG,3024,4032,50000,1187,1470,2230,3404
IMG_8452.JPG,4032,3024,50000,1616,1006,2864,1726
IMG_8500.JPG,3024,4032,1000,178,1708,2630,3404
IMG_8536.JPG,4032,3024,10000,2148,1302,3172,2330
IMG_8536.JPG,4032,3024,10000,832,726,1840,1078
IMG_8536.JPG,4032,3024,10000,1964,734,3032,1190
IMG_8671.JPG,3024,4032,50000,954,1104,2435,3042
IMG_8375.JPG,4032,3024,50000,1512,1162,2692,2226
IMG_8300.JPG,4032,3024,10000,1472,814,2960,2198
IMG_8444.JPG,4032,3024,50000,1756,914,2472,1994
IMG_8327.JPG,4032,3024,10000,1172,942,3484,1950
IMG_8425.JPG,4032,3024,50000,1504,886,2836,1602
IMG_8663.JPG,3024,4032,50000,1283,1375,2273,3470
IMG_8211.JPG,4032,3024,5000,1276,1046,3464,1758
IMG_8208.JPG,4032,3024,5000,992,746,3376,1374
IMG_8686.JPG,3024,4032,50000,1406,1289,2364,3442
IMG_8233.JPG,4032,3024,5000,1388,586,2832,2174
IMG_8286.JPG,4032,3024,10000,1444,1094,3472,2486
IMG_8292.JPG,4032,3024,10000,1332,914,2732,2078
IMG_8654.JPG,3024,4032,5000,1026,947,2045,3070
IMG_8350.JPG,4032,3024,50000,1036,854,3416,1534
IMG_8290.JPG,4032,3024,10000,1408,782,2676,1826
IMG_8474.JPG,4032,3024,1000,1340,918,2780,1958
IMG_8295.JPG,4032,3024,10000,1240,410,3064,1830
IMG_8704.JPG,3024,4032,1000,1554,1418,2826,3047
IMG_8326.JPG,4032,3024,10000,1084,966,3136,2394
IMG_8689.JPG,3024,4032,50000,1006,1380,2764,2680
IMG_8745.JPG,3024,4032,10000,1164,2004,2140,3837
IMG_8246.JPG,3024,4032,5000,630,1104,2092,2256
IMG_8246.JPG,3024,4032,5000,1440,980,2602,2447
IMG_8507.JPG,4032,3024,5000,596,1138,1392,2206
IMG_8507.JPG,4032,3024,5000,1172,1134,2412,2374
IMG_8507.JPG,4032,3024,5000,2412,1334,3976,2486
IMG_8638.JPG,3024,4032,10000,1021,1594,2026,3551
IMG_8465.JPG,4032,3024,1000,372,882,1160,1854
IMG_8465.JPG,4032,3024,1000,1252,806,2164,1910
IMG_8465.JPG,4032,3024,1000,2712,1098,3968,2378
IMG_8468.JPG,4032,3024,1000,1296,950,2540,1878
IMG_8275.JPG,4032,3024,10000,1100,1054,3592,1498
IMG_8396.JPG,4032,3024,50000,1508,1030,3468,2330
IMG_8280.JPG,4032,3024,10000,1668,562,2560,2406
IMG_8417.JPG,4032,3024,50000,1868,746,2624,2162
IMG_8586.JPG,4032,3024,50000,1808,410,2676,2226
IMG_8734.JPG,3024,4032,5000,492,1632,1378,3599
IMG_8298.JPG,4032,3024,10000,1136,958,3032,2494
IMG_8384.JPG,4032,3024,50000,1752,1058,3196,1838
IMG_8245.JPG,3024,4032,5000,416,1285,1764,2842
IMG_8245.JPG,3024,4032,5000,1097,1999,2187,3413
IMG_8245.JPG,3024,4032,5000,1587,880,2630,2299
IMG_8392.JPG,4032,3024,50000,1552,1034,2800,1954
IMG_8307.JPG,4032,3024,10000,1400,678,2620,2078
IMG_8652.JPG,3024,4032,5000,1173,1008,3024,2523
IMG_8187.JPG,4032,3024,1000,800,358,3696,2178
IMG_8730.JPG,3024,4032,5000,145,1780,1702,3237
IMG_8415.JPG,4032,3024,50000,1692,830,2540,1786
IMG_8580.JPG,4032,3024,50000,820,298,2888,2350
IMG_8698.JPG,3024,4032,1000,1011,1380,2673,3437
IMG_8685.JPG,3024,4032,50000,1611,1685,3006,2627
IMG_8530.JPG,3024,4032,5000,202,1670,2578,2680
IMG_8488.JPG,4032,3024,1000,1140,386,2976,2098
IMG_8665.JPG,3024,4032,50000,1292,1327,2426,3585
IMG_8697.JPG,3024,4032,1000,1183,1394,2726,3408
IMG_8702.JPG,3024,4032,1000,911,2132,2511,3232
IMG_8391.JPG,4032,3024,50000,1316,902,2852,2034
IMG_8314.JPG,3024,4032,10000,664,1294,1616,2570
IMG_8691.JPG,3024,4032,50000,859,1718,2635,2804
IMG_8387.JPG,4032,3024,50000,1588,918,2896,2146
IMG_8746.JPG,3024,4032,10000,1092,1504,1997,3604
IMG_8345.JPG,4032,3024,50000,1724,670,2612,2482
IMG_8584.JPG,4032,3024,50000,1932,998,3240,2078
IMG_8666.JPG,3024,4032,50000,654,1161,2730,3042
IMG_8457.JPG,4032,3024,50000,1892,890,2576,1966
IMG_8247.JPG,4032,3024,5000,1212,850,2176,1806
IMG_8247.JPG,4032,3024,5000,1148,482,2488,1258
IMG_8722.JPG,3024,4032,1000,730,837,2140,3527
IMG_8190.JPG,4032,3024,1000,1068,414,3324,2114
IMG_8706.JPG,3024,4032,1000,1235,1451,2135,3466
IMG_8725.JPG,3024,4032,5000,1187,1066,2268,3699
IMG_8312.JPG,4032,3024,10000,1820,986,2532,2054
IMG_8669.JPG,3024,4032,50000,1249,1351,2316,3299
IMG_8470.JPG,4032,3024,1000,1684,774,3064,2130
IMG_8484.JPG,4032,3024,1000,1772,606,2928,1802
IMG_8241.JPG,4032,3024,5000,1596,526,2520,2310
IMG_8174.JPG,4032,3024,1000,1599,536,3143,2226
IMG_8418.JPG,4032,3024,50000,1912,594,2728,2094
IMG_8353.JPG,4032,3024,50000,1160,1142,3548,2106
IMG_8409.JPG,4032,3024,50000,1184,910,3104,1966
IMG_8271.JPG,4032,3024,10000,1136,982,3556,1474
IMG_8334.JPG,4032,3024,50000,1004,1146,3536,2054
IMG_8739.JPG,3024,4032,5000,268,1732,1745,3170
IMG_8695.JPG,3024,4032,1000,1483,1456,2354,3380
IMG_8388.JPG,4032,3024,50000,1544,958,3056,2150
IMG_8305.JPG,4032,3024,10000,1404,1126,2852,1902
IMG_8257.JPG,4032,3024,10000,1104,1130,3288,1746
IMG_8630.JPG,3024,4032,10000,1340,1613,1773,3608
IMG_8618.JPG,3024,4032,1000,1159,1389,2268,3513
IMG_8193.JPG,4032,3024,1000,980,930,3044,1918
IMG_8533.JPG,3024,4032,5000,987,1832,2645,3670
IMG_8351.JPG,4032,3024,50000,1000,1026,3324,1554
IMG_8733.JPG,3024,4032,5000,502,1642,1416,3623
IMG_8710.JPG,3024,4032,1000,1087,1913,2392,3327
IMG_8248.JPG,4032,3024,5000,1244,810,2448,1570
IMG_8407.JPG,4032,3024,50000,1192,430,3180,2442
IMG_8467.JPG,4032,3024,1000,2332,582,3616,1694
IMG_8467.JPG,4032,3024,1000,504,1614,2196,2734
IMG_8467.JPG,4032,3024,1000,1140,718,2096,1714
IMG_8760.JPG,3024,4032,10000,683,1447,1740,3456
IMG_8600.JPG,4032,3024,50000,1908,974,3644,2442
IMG_8717.JPG,3024,4032,1000,783,1489,1849,3351
IMG_8237.JPG,4032,3024,5000,1596,638,2772,2778
IMG_8227.JPG,4032,3024,5000,1616,1038,2852,2054
IMG_8177.JPG,4032,3024,1000,564,718,3180,2694
IMG_8234.JPG,4032,3024,5000,1208,774,3072,1970
IMG_8676.JPG,3024,4032,50000,1335,1261,2264,3170
IMG_8308.JPG,4032,3024,10000,1436,730,3016,1266
IMG_8517.JPG,3024,4032,5000,1102,1999,2340,3285
IMG_8703.JPG,3024,4032,1000,1397,1451,2292,3408
IMG_8690.JPG,3024,4032,50000,1140,1647,2883,2604
IMG_8643.JPG,3024,4032,10000,1368,1504,2268,3437
IMG_8264.JPG,4032,3024,10000,1724,926,2596,2350
IMG_8556.JPG,3024,4032,10000,1212,1170,2374,2575
